	0	0	0	0
2016-10-2	71	2984	83	1868
2016-10-1	64	2805	75	1755
2016-9-30	184	7040	225	4742
2016-9-29	220	9508	244	6273
2016-9-28	224	10183	282	7429
2016-9-27	27	1087	23	683
2016-9-26	206	7932	236	5216
2016-9-25	172	8029	174	4676
2016-9-24	70	2878	75	1540
2016-9-23	233	9400	259	5312
2016-9-22	241	9974	285	7399
2016-9-21	228	9474	290	7348
2016-9-20	214	9599	321	8489
2016-9-19	254	11462	286	7352
2016-9-13	11	311	9	199
2016-9-9	18	634	25	542
2016-9-7	15	642	11	429
2016-9-4	8	204	8	184
2016-9-3	4	101	3	118
2016-9-2	12	397	14	260
2016-8-31	41	1293	46	763
2016-8-29	50	2276	60	1433
2016-8-24	3	99	3	64
2016-8-20	1	13	1	24
2016-8-19	50	2142	58	1296
2016-8-18	2	36	1	20
2016-8-16	11	515	8	188
2016-8-15	8	218	15	314
2016-8-14	8	193	9	176
2016-8-4	3	62	4	68
2016-8-2	2	34	1	13
2016-7-18	9	476	6	157
2016-7-17	5	905	6	193
2016-7-3	8	236	8	131
2016-7-2	2	50	4	100
2016-6-29	5	91	5	22
2016-6-20	3	142	2	11
2016-6-19	9	309	8	74
2016-6-15	14	512	19	194
2016-6-12	19	655	35	622
2016-6-10	2	48	2	4
2016-5-27	2	50	1	15
2016-4-21	9	513	8	173
2016-4-18	2	156	2	50
2016-4-2	9	389	7	188
2016-4-1	86	2689	70	1386
2016-3-30	83	3491	75	1662
2016-3-28	149	6427	134	2507
2016-3-20	59	2466	60	1279
2016-3-8	2	49	1	15
2016-3-7	11	322	10	217
2016-3-6	118	6132	169	3929
2016-1-20	13	406	16	412
2015-12-12	8	498	9	137
2015-10-18	21	890	23	609
2015-10-4	27	882	22	500
2015-9-22	2	48	1	15
2015-9-13	1	30	1	10
2015-9-10	2	35	2	10
2016-10-18	9	497	11	232
2016-10-17	151	7159	206	5304
2016-10-16	5	127	4	115
2016-10-15	8	308	6	165
2016-10-14	100	4107	141	4107
2016-10-13	104	4487	134	3393
2016-10-12	67	2915	97	2417
2016-10-11	280	13047	326	8703
2016-10-10	280	14951	353	8866
2016-10-9	145	8419	162	4631
2016-10-6	93	4103	121	3039
2016-10-4	114	4772	119	2535
2016-10-3	116	5090	164	3622
